Feature	Importance
艇番	919.8744927151129
全国勝率	595.2639381390763
モーター2連率	384.4377750121057
当地勝率	256.41759480535984
展示タイム	255.3911305963993
ボート2連率	232.1085069477558
当地2連率	217.3047394156456
全国2連率	179.00538058578968
選手登番	123.22132542729378
支部	112.00509569048882
体重	75.62767958641052
風量	58.38357985019684
年齢	53.727934420108795
風向	48.18397802114487
波	34.62697821855545
級別	22.160280883312225
天候	17.88117003440857
会場	0.0
